Name of Company,Are they a subsidiary of another umbrella brand?,"If Yes, Name of Parent Brand",Sector,HQ Location (Country),Name of Chief Executive ,First Name,Last Name,Company Address,Web URL of the Company,Company Email ID,,Link of Key Documents: Supplier Code of Conduct,Link of Key Document: Migrant Worker Policy,Link of Key Document: Human Rights Policy,Link of Key Document: Code of Conduct,Link of Key Document: Modern Slavery Statement,Link of Key Document: Sustainability Report,Implementation Guidance Link,Name of the Implementation Guidance,,Does the company prohibit recruitment fees to workers? Paste only relevant sentences.,Name of Reference Document 1,Reference Document Link,Reference to fee repayment if workers are found to have paid (up to three sentences),"If yes, provide link 1",Does the Recruitment Policy Include Requirement on Employer/ Suppliers to Pay,"Reference to Employer Pay Principle, Link",Reference to Employer Pay Principle,"Reference to Dhaka Principle, Link","Reference to Confiscation of travel/ identity document. If yes, mention up to three sentences.",Name of Reference Document 2,"If yes, provide link 2",,"Name of the Sustainability Representative, if available",Title of  Sustainability Representative,Sustainaiblity Department Email Address,Sustainability Representative Address,List if Membership of trade or sustainable business association
21St Century Fox,Yes,The Walt Disney,Entertainment,United States,James Murdoch,James,Murdoch,"1211 Avenue of the Americas New York, NY 10036 United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23Andme,No,,Biotechnology,United States,Anne Wojcicki,Anne,Wojcicki,"899 W Evelyn Ave Mountain View, CA 94041United States",https://www.23andme.com/,https://customercare.23andme.com/hc/en-us/requests/new,,https://investors.23andme.com/static-files/4cb44af9-3d95-4a70-81b4-3a18b8046e66,,,"https://investors.23andme.com/static-files/51fd1f5a-9ffc-402a-bedb-cf35308c0af3#:~:text=Each%20person%20owes%20a%20duty,to%20personal%20gain%20or%20advantage.",,https://investors.23andme.com/static-files/8c8190f6-671e-426e-9960-a59c580b22e7,,,,"Workers shall not be required to pay employers’ or their agents’ recruitment fees or other similar fees to obtain their employment. If such fees are found to have been paid by workers, such fees shall be repaid to the worker",Supplier Code of Conduct,https://investors.23andme.com/static-files/4cb44af9-3d95-4a70-81b4-3a18b8046e66,"Workers shall not be required to pay employers’ or their agents’ recruitment fees or other similar fees to obtain their employment. If such fees are found to have been paid by workers, such fees shall be repaid to the worker",https://investors.23andme.com/static-files/4cb44af9-3d95-4a70-81b4-3a18b8046e66,,,,,"Suppliers shall not withhold workers’ original government-issued identification and travel documents. Suppliers are prohibited from destroying, concealing, confiscating, or otherwise restricting or denying workers’ access to employee identity or immigration papers.
",Supplier Code of Conduct,https://investors.23andme.com/static-files/4cb44af9-3d95-4a70-81b4-3a18b8046e66,,Guy Chayoun,"Vice President, Interim General Counsel",legal@23andme.com,,
3M,No,,Consumer Goods,United States,Mike Roman,Mike,Roman,"2501 Hudson Road, Maplewood, MN 55144-1000, USA",https://www.3m.com/,info@3m.com,,https://multimedia.3m.com/mws/media/1204567O/3m-supplier-responsibility-code-eng.pdf,,https://multimedia.3m.com/mws/media/1029705O/human-rights-policy.pdf,,https://multimedia.3m.com/mws/media/2323435O/3m-2023-modern-slavery-statement.pdf,https://multimedia.3m.com/mws/media/2292786O/3m-2023-global-impact-report.pdf,https://multimedia.3m.com/mws/media/2139707O/supplier-responsibility-code-assessment-guidance.pdf,Supplier Responsibility Code Assessment Guidance – For Suppliers,,"Additionally, 3M does not permit the practice of having employees pay recruitment fees or other related fees, in order to obtain employment. This practice can result in employees being forced to work in order to pay off debt incurred as part of securing employment. If an employee has been charged fees to secure employment, those fees shall be repaid to the employee.",Human Rights Policy,https://multimedia.3m.com/mws/media/1029705O/human-rights-policy.pdf,"If an employee has been charged fees to secure
employment, those fees shall be repaid to the employee.",https://multimedia.3m.com/mws/media/1029705O/human-rights-policy.pdf,Yes,,,,"3M will not retain original employee documents (such as government issued identification, passport or work permits) unless employees voluntarily request 3M to safely store them, or where required by law. If 3M retains employee documents, 3M will not deny employee access to the originals of their identity or immigration documents. ",Human Rights Policy,https://multimedia.3m.com/mws/media/1029705O/human-rights-policy.pdf,,Gayle Schueller,Chief Sustainability Officer,Sustainability@mmm.com,,"Responsible Business Alliance

Defense Industry Initiative "
7 Eleven,No,,Retail,United States,Joe DePinto,Joe,DePinto,"3200 Hackberry Rd. Irving, TX 75063 USA",https://www.7-eleven.com/,media@7-11.com,,https://assets.contentstack.io/v3/assets/bltbb619fd5c667ba2d/blt939d31170967b265/7-Eleven-Vendor-Supplier-Guidelines-2023.pdf,,,,https://www.7-eleven.com/california-transparency-in-supply-chains-act-disclosure#verification,,,,,,,,,,,,,,,,,,Marissa Jarratt,"EVP, chief marketing and sustainability officer",,,
Ab Inbev,No,,Food & Beverage,Belgium,Michel Doukeris,Michel,Doukeris,"Brouwerijplein 1 BE-3000 Leuven, Vlaams-Brabant",https://www.ab-inbev.com/,eu_media.relations@ab-inbev.com,,https://www.ab-inbev.com/assets/pdfs/policies/InBev_Responsible_Sourcing_Policy_2020.pdf,,https://www.ab-inbev.com/assets/pdfs/policies/InBev_-_Global_Human_Rights_Policy_2019_.pdf,https://www.ab-inbev.com/content/dam/universaltemplate/abinbev/pdf/AB%20InBev%20InterimCOBC%20Final%202020_New%20Principles.pdf,https://bbg.blob.core.windows.net/bbgstorage/2023-06/Modern_Slavery_Report_for_2022_FINAL_Signed_29_June_2023.pdf,https://www.ab-inbev.com/assets/pressreleases/2023/AB%20InBev_2022%20ESG%20Report_FINAL.pdf,,,, Individual workers and jobseekers must not be charged or bear recruitment fees or related costs payable to Business Partners or any third party working on behalf of the Business Partner,"Global Responsible
Sourcing Policy",https://www.ab-inbev.com/assets/pdfs/policies/InBev_Responsible_Sourcing_Policy_2020.pdf,,,,,,," workers must not be required to relinquish their identity papers, passports, ATM cards or work permits as a condition of employment.","Global Responsible
Sourcing Policy",https://www.ab-inbev.com/assets/pdfs/policies/InBev_Responsible_Sourcing_Policy_2020.pdf,,Ingrid De Ryck,Chief Sustainability Officer,corporategovernance@ab-inbev.com,,
Abb Ltd,No,,Manufacturing,Switzerland,Björn Rosengren,Björn,Rosengren,"Affolternstrasse 44, 8050 Zurich, Switzerland.",https://global.abb/group/en,eikechristian.meuter@ch.abb.com,,https://search.abb.com/library/Download.aspx?DocumentID=9AKK106103A9962&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.202057937.1967061666.1709052378-415506418.1709052378,,https://search.abb.com/library/Download.aspx?DocumentID=9AKK105061D0010&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.173289187.1967061666.1709052378-415506418.1709052378,https://search.abb.com/library/Download.aspx?DocumentID=9AKK107680A7765&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.164302335.1967061666.1709052378-415506418.1709052378,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108469A1421&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.198789487.1967061666.1709052378-415506418.1709052378,https://sustainabilityreport.abb.com/2022/servicepages/downloads/files/sustainability-performance-abb-csr22.pdf,https://search.abb.com/library/Download.aspx?DocumentID=9AKK106354A0896&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.171712992.1967061666.1709052378-415506418.1709052378,"Supplier Code of Conduct
Implementation guide",,"• Ensure that workers are not required by you or your labor agent or agency to pay any recruitment fees or other similar fees to employers or their agents to obtain their employment. If such fees are found to have been paid by the worker, the worker shall be reimbursed in full;",Supplier Code of Conduct,https://search.abb.com/library/Download.aspx?DocumentID=9AKK106103A9962&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.201474641.1967061666.1709052378-415506418.1709052378,"• Ensure that workers are not required by you or your labor agent or agency to pay any recruitment fees or other similar fees to employers or their agents to obtain their employment. If such fees are found to have been paid by the worker, the worker shall be reimbursed in full;",https://search.abb.com/library/Download.aspx?DocumentID=9AKK106103A9962&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.201474641.1967061666.1709052378-415506418.1709052378,,,,,"Unless stipulated by applicable law, not require workers to surrender their original personal certificates and identifications, such as government-issued identification, passports or work permits, as a condition of employment;",Supplier Code of Conduct,https://search.abb.com/library/Download.aspx?DocumentID=9AKK106103A9962&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.201474641.1967061666.1709052378-415506418.1709052378,,Karin Lepasoon,Chief Communications and Sustainability Officer,HQ-sustainability@abb.com,,
Abbott,Yes,,Health Care Equipment,United States,Robert Ford,Robert,Ford,"100 Abbott Park Road, Abbott Park, Illinois 60064",https://www.abbott.com/,contactus@abbott.com,,https://dam.abbott.com/en-us/documents/pdfs/partners/Supplier-Guidelines-FINAL-ENGLISH.pdf,,https://www.abbott.com/content/dam/corp/abbott/en-us/documents/pdfs/transparency/Position-Statement-on-Human-Rights-FINAL.pdf,https://dam.abbott.com/en-us/documents/pdfs/investors/business-conduct-code-english.pdf,https://www.abbott.co.uk/content/dam/corp/abbott/en-gb/documents/pdfs/UK-Modern-Slavery-Act-2015-2022-Statement-FINAL.pdf,https://dam.abbott.com/en-us/documents/pdfs/abbott-citizenship/Abbott-2022-Global-Sustainability-Report-June-2023.pdf,,,,"Please know that Abbott does not conduct interviews via chat rooms, charge candidates an advance fee of any kind (e.g., placement fees, processing fees, etc.), nor does it offer positions of employment without undergoing a thorough recruiting process.",Recruitment Fraud,https://www.abbott.com/careers/working-with-us/recruitment-fraud.html,,,,,,,,,,,Kathryn McKenzie,Global Citizenship and Sustainability and Vice President,responsibility@abbott.com,,
Abbvie,Yes,,Pharmaceutical,United States,Richard Gonzalez,Richard,Gonzalez,"One North Waukegan Road, North Chicago, IL 60064, USA",https://www.abbvie.com/,gabrielle.tarbert@abbvie.com,,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/suppliers/abbvie-supplier-code-of-conduct-brochure.pdf,,,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/cobc/cobc_English.pdf,,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/abbvie-esg-action-report.pdf,,,,,,,,,,,,,,,,,Eileen Openbrier,Director Environmental Compliance & Sustainability,,,
Abercrombie Fitch Company,No,,Apparel and Footwear,United States,Fran Horowitz,Fran,Horowitz,"6301 Fitch Path New Albany, OH 43054 United States",https://www.abercrombie.com/,customerservice@abercrombie.com,,"https://corporate.abercrombie.com/sustainability/policies-resources/vendor-code-of-conduct/#:~:text=vendor's%20actions%2C%20too.-,A%26F%20Co.,essential%20for%20all%20A%26F%20Co.",https://corporate.abercrombie.com/sustainability/social-impact/migrant-employees/,,https://abercrombieandfitchcompany.gcs-web.com/static-files/ecf0fd74-e304-41c5-83c3-4de96739dba0/,https://corporate.abercrombie.com/sustainability/policies-resources/california-transparency-in-supply-chains-act/,https://corporate.abercrombie.com/sustainability/strategy-and-goals/#progress-highlights,,,,"Fees/Costs: Workers shall not be responsible for any fees paid to agencies or the factory in exchange for employment, nor for medical examinations (if they are mandatory), nor for inbound or outbound travel costs.",Migrant Employee Addendum,https://corporate.abercrombie.com/sustainability/social-impact/migrant-employees/,,,,,,,"Passport Policy: Each migrant worker shall understand that neither the agency nor factory shall retain a worker’s passport for any reason other than processing work visas. All migrant workers shall be given a secure place to store their personal documents (i.e. passports, working papers).",Migrant Employee Addendum,https://corporate.abercrombie.com/sustainability/social-impact/migrant-employees/,,Kim Harr,Vice President Global Sustainability,Sustainability@anfcorp.com,,"American Apparel Footwear Association  
The Fair Labor Association
Mekong Club
United Nations Global Compact"
Accenture,No,,IT Service,Ireland,Julie Sweet,Julie,Sweet,"1 Grand Canal Square, Grand Canal Harbour, Dublin 2, Ireland",https://www.accenture.com,rachel.frey@accenture.com,,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-58/accenture-supplier-standards-of-conduct-final-en.pdf,,,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-63/accenture-cobe-brochure-english.pdf,https://www.accenture.com/content/dam/accenture/final/accenture-com/document/Accenture-Modern-Slavery-Transparency-Statement-2023.pdf,https://www.accenture.com/content/dam/accenture/final/corporate/corporate-initiatives/sustainability/document/360-Value-Report-2023.pdf#zoom=50,,,,"Accenture suppliers do not use, encourage or engage in human trafficking.They do not, among other things: destroy, conceal, confiscate or otherwisedeny employees’ access to identity or immigration documents; charge workersrecruiting fees;",Supplier Standards of Conduct,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-58/accenture-supplier-standards-of-conduct-final-en.pdf,,,,,,,"Accenture suppliers do not use, encourage or engage in human trafficking. They do not, among other things: destroy, conceal, confiscate or otherwise deny employees’ access to identity or immigration documents; charge workers recruiting fees;",Supplier Standards of Conduct,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-58/accenture-supplier-standards-of-conduct-final-en.pdf,,Sean McKnight,Managing Director: Sustainability,,,
